id,name,description,latitude,longitude,event_date,created_at,updated_at,news_link,glide_number,event_label,aoi_size,active_start_date,active_end_date,firstwatch_link,icon_id,available_in_r3,available_in_commercial
423,Civil Unrest in Egypt,"The U.S. embassy in Cairo closed to the public Tuesday amid civil unrest across Egypt. Some 51 people have died in the violence since Friday, and at least 128 people were injured in overnight clashes that continued into Tuesday morning.",30.065,31.267,2013-01-30 16:05:00,2013-01-30 16:23:14.699751,2013-01-30 16:23:14.699751,http://www.upi.com/Top_News/World-News/2013/01/29/Egyptians-defy-Morsi-curfew-death-toll-59/UPI-37741359444600/,"",Yellow,16,2013-01-30 16:05:00,2013-02-09 16:05:00,"",19,f,t
3,Sudan Referendum,Political,4.8495,31.5822,2010-12-24 12:00:00,2011-05-24 12:00:00,2011-06-07 19:54:42.903765,,,,,,,,1,f,t
4,Mt Carmel Fire Israel,Fire,32.747,35.0364,2010-12-02 12:00:00,2011-05-24 12:00:00,2011-06-07 19:54:55.981925,,,,,,,,1,f,t
5,Venezuela Flooding,Flood,10.4819,-66.853,2010-12-01 12:00:00,2011-05-24 12:00:00,2011-06-07 19:55:13.381357,,,,,,,,1,f,t
6,North Korea Tensions,Political,37.6613,125.701,2010-11-26 12:00:00,2011-05-24 12:00:00,2011-06-07 19:55:30.489885,,,,,,,,1,f,t
7,Myanmar Election Violence,Political,16.6905,98.516,2010-11-08 12:00:00,2011-05-24 12:00:00,2011-06-07 19:55:45.816007,,,,,,,,1,f,t
8,Hurricane Tomas,Hurricane,18.561,-72.335,2010-11-05 12:00:00,2011-05-24 12:00:00,2011-06-07 19:56:00.172343,,,,,,,,1,f,t
9,Mt. Merapi,Volcano,-7.5416,110.4442,2010-10-26 12:00:00,2011-05-24 12:00:00,2011-06-07 19:56:14.935181,,,,,,,,1,f,t
11,Cyclone Giri,Cyclone,19.707,93.724,2010-10-26 12:00:00,2011-05-24 12:00:00,2011-06-07 19:56:37.754431,,,,,,,,1,f,t
12,Cotonou Benin - flooding,Flood,6.392,2.4295,2010-10-26 12:00:00,2011-05-24 12:00:00,2011-06-07 19:56:51.617074,,,,,,,,1,f,t
10,Sumatra Tsunami,Tsunami,-0.9935,100.381,2010-10-26 12:00:00,2011-05-24 12:00:00,2011-06-07 19:57:06.060459,,,,,,,,1,f,t
13,Hungary Toxic Sludge,Environmental,47.0891,17.4953,2010-10-05 12:00:00,2011-05-24 12:00:00,2011-06-07 19:57:34.527426,,,,,,,,1,f,t
14,Mexico Landslide,Landslide,17.0994,-96.0597,2010-09-28 12:00:00,2011-05-24 12:00:00,2011-06-07 19:59:30.949581,,,,,,,,1,f,t
15,Minnesota Flooding,Flood,44.3107,-93.962,2010-09-27 12:00:00,2011-05-24 12:00:00,2011-06-07 20:00:20.50793,,,,,,,,1,f,t
16,Wisconsin Flooding,Flood,43.536,-89.457,2010-09-27 12:00:00,2011-05-24 12:00:00,2011-06-07 20:00:37.038493,,,,,,,,1,f,t
17,Bihar India Flooding,Flood,26.372,84.631,2010-09-20 12:00:00,2011-05-24 12:00:00,2011-06-07 20:00:50.662596,,,,,,,,1,f,t
18,Machine Gun Fire,Fire,40.4498,-112.0536,2010-09-20 12:00:00,2011-05-24 12:00:00,2011-06-07 20:01:02.980468,,,,,,,,1,f,t
19,Hurricane Karl,Hurricane,19.1259,-96.1511,2010-09-17 12:00:00,2011-05-24 12:00:00,2011-06-07 20:01:23.829833,,,,,,,,1,f,t
20,Canyon Fire,Fire,35.5601,-118.573,2010-09-16 12:00:00,2011-05-24 12:00:00,2011-06-07 20:01:37.767002,,,,,,,,1,f,t
21,Nigeria Flooding,Flood,13.4496,5.651,2010-09-14 12:00:00,2011-05-24 12:00:00,2011-06-07 20:01:53.748902,,,,,,,,1,f,t
22,Reservoir Road Fire,Fire,40.378,-105.264,2010-09-13 12:00:00,2011-05-24 12:00:00,2011-06-07 20:02:07.962758,,,,,,,,1,f,t
23,San Bruno Explosion,Explosion,37.623,-122.4414,2010-09-10 12:00:00,2011-05-24 12:00:00,2011-06-07 20:02:22.698843,,,,,,,,1,f,t
24,Four Mile Fire,Fire,40.0537,-105.4133,2010-09-07 12:00:00,2011-05-24 12:00:00,2011-06-07 20:02:39.735971,,,,,,,,1,f,t
25,New Zealand Earthquake,Earthquake,-43.531,172.635,2010-09-07 12:00:00,2011-05-24 12:00:00,2011-06-07 20:02:53.025201,,,,,,,,1,f,t
26,California Post Fire,Fire,34.848,-118.877,2010-08-25 12:00:00,2011-05-24 12:00:00,2011-06-07 20:03:09.163821,,,,,,,,1,f,t
27,Sichuan China Debris Flow,Landslide,31.0616,103.4854,2010-08-16 12:00:00,2011-05-24 12:00:00,2011-06-07 20:03:22.306762,,,,,,,,1,f,t
28,Iowa Flooding,Flood,41.5332,-93.475,2010-08-12 12:00:00,2011-05-24 12:00:00,2011-06-07 20:03:34.125113,,,,,,,,1,f,t
29,China Landslide,Landslide,33.787,104.371,2010-08-09 12:00:00,2011-05-24 12:00:00,2011-06-07 20:03:45.705209,,,,,,,,1,f,t
30,India Flooding,Flood,34.1333,77.507,2010-08-09 12:00:00,2011-05-24 12:00:00,2011-06-07 20:04:00.469708,,,,,,,,1,f,t
31,Czech Flooding,Flood,50.8807,14.5199,2010-08-09 12:00:00,2011-05-24 12:00:00,2011-06-07 20:04:13.270246,,,,,,,,1,f,t
32,Burkina Faso Flooding,Flood,12.973,-0.1405,2010-08-02 12:00:00,2011-05-24 12:00:00,2011-06-07 20:04:31.082213,,,,,,,,1,f,t
33,Pakistan Flooding,Flood,28.0915,69.1212,2010-07-30 12:00:00,2011-05-24 12:00:00,2011-06-07 20:04:43.550906,,,,,,,,1,f,t
34,California Fires,Fire,35.806,-118.411,2010-07-28 12:00:00,2011-05-24 12:00:00,2011-06-07 20:04:55.026461,,,,,,,,1,f,t
35,Jiunjian Flooding,Flood,29.707,115.873,2010-07-20 12:00:00,2011-05-24 12:00:00,2011-06-07 20:05:06.38753,,,,,,,,1,f,t
36,Hurricane Alex,Hurricane,25.6707,-100.3636,2010-07-01 12:00:00,2011-05-24 12:00:00,2011-06-07 20:05:18.167956,,,,,,,,1,f,t
37,Canada Flooding,Flood,49.9335,-109.485,2010-06-22 12:00:00,2011-05-24 12:00:00,2011-06-07 20:05:29.140929,,,,,,,,1,f,t
39,Myanmar Flooding,Flood,19.259,93.718,2010-06-17 12:00:00,2011-05-24 12:00:00,2011-06-07 20:05:41.658562,,,,,,,,1,f,t
38,China Flooding,Flood,22.201,113.106,2010-06-21 12:00:00,2011-05-24 12:00:00,2011-06-07 20:05:53.752425,,,,,,,,1,f,t
40,OK and AR Flooding,Flood,35.585,-97.4817,2010-06-15 12:00:00,2011-05-24 12:00:00,2011-06-07 20:06:05.14522,,,,,,,,1,f,t
41,Osh Ethnic Violence,Political,40.517,72.805,2010-06-14 12:00:00,2011-05-24 12:00:00,2011-06-07 20:06:21.646184,,,,,,,,1,f,t
44,World Cup 2010 -  Nelson Mandela Bay,Sports,-33.937,25.599,2010-06-11 12:00:00,2011-05-24 12:00:00,2011-06-07 20:06:42.786859,,,,,,,,1,f,t
52,Cyclone Phet,Cyclone,23.613,58.5922,2010-06-04 12:00:00,2011-05-24 12:00:00,2011-06-07 20:07:27.324088,,,,,,,,1,f,t
183,Southern Storms - Tuscaloosa,"On April 27th, the city of Tuscaloosa, Alabama was struck by an EF-4 level tornado with winds reported up to 190 mph. Leaving a scar nearly 6 miles long, 5,000 homes were were destroyed or severely damaged and 43 people lost their lives.",33.193233,-87.537121,2011-04-28 12:00:00,2011-05-24 12:00:00,2011-06-07 22:20:23.214681,,,,,,,,1,f,t
225,Yemen Unrest - Presidential Palace,Political Unrest in Yemen,15.3144,44.2152,2011-06-03 19:45:00,2011-06-03 19:49:19.781384,2011-06-08 06:47:37.393806,,,,,,,,1,f,t
206,"Joplin, MO","An EF-5 multiple-vortex tornado struck the town of Joplin, Missouri the evening of May 22nd. One of the deadliest tornadoes in U.S. history, at least 141 people were killed with an estimated 2,000 buildings destroyed. ",37.060949,-94.530506,2011-05-23 12:00:00,2011-05-24 12:00:00,2011-06-08 15:14:39.825782,,,,,,,,1,f,t
241,South Korea landslides - Chuncheon,Torrential rainfall has triggered flooding and a landslide in Chuncheon killing 16 people according to the National Emergency Management Agency.,37.8815,127.735,2011-07-29 17:49:00,2011-07-29 17:55:09.415237,2011-07-29 17:55:09.415237,http://www.ibtimes.com/articles/189022/20110729/seoul-torrential-rain-torrential-rain-in-south-korea-killing-41-people-natural-disaster-floods-in-so.htm,,,,,,,1,f,t
227,Wallow Fire - Arizona,"According to InciWeb, the Wallow Fire is burning actively in eastern Arizona near the communities of Nutrioso and Alpine. Size is estimated at 233,522 acres.",33.9031,-109.3123,2011-06-06 22:03:00,2011-06-06 22:07:40.930901,2011-06-08 22:11:05.556882,,,,,,,,1,f,t
242,South Korea landslides- Seoul,"In Seoul, the heaviest rains in a century have led to flooding and landslides. At least 67 people are dead or missing.",37.501,127.069,2011-07-29 17:56:00,2011-07-29 18:00:05.949187,2011-07-29 18:00:05.949187,http://www.ibtimes.com/articles/189022/20110729/seoul-torrential-rain-torrential-rain-in-south-korea-killing-41-people-natural-disaster-floods-in-so.htm,,,,,,,1,f,t
425,Flood in Seychelles,"Parts of the Seychelles have declared a state of emergency after severe weather hit the country.  No casualties have been reported, but flooding, landslides and rock falls have hit the main island of Mahe. ",-4.727351,55.520571,2013-02-01 16:30:00,2013-02-01 16:38:25.398234,2013-02-01 16:38:25.398234,http://www.aljazeera.com/weather/2013/01/201312993838165255.html,"",Yellow,16,2013-02-01 16:30:00,2013-02-11 16:30:00,"",6,f,t
367,Flooding in Senegal,"Six people drowned or were killed by falling structures over the weekend, after a torrential rain lashed Senegal, causing houses to crumble and neighborhoods to flood under the rushing water.",14.794,-17.327,2012-08-27 17:30:00,2012-08-27 17:31:47.783475,2012-09-11 20:14:31.292405,http://www.washingtonpost.com/world/africa/6-dead-in-weekend-flooding-in-senegals-capital-says-minister-of-the-interior/2012/08/27/13a4f736-f055-11e1-b74c-84ed55e0300b_story.html,"",Yellow,16,2012-08-27 17:30:00,2012-09-06 17:30:00,"",6,f,t
